,logFC.Riboseq_sample-RNAseq_sample,AveExpr.Riboseq_sample-RNAseq_sample,t.Riboseq_sample-RNAseq_sample,P.Value.Riboseq_sample-RNAseq_sample,adj.P.Val.Riboseq_sample-RNAseq_sample,B.Riboseq_sample-RNAseq_sample,Symbol.Riboseq_sample-RNAseq_sample
ITGA6,-0.0196858357027656,6.72189673159354,-0.0349234239820329,0.973027336369077,0.987958001486868,-6.7552146633015,ITGA6
ITGA7,-0.978106944632546,4.83155079846909,-0.669387674922764,0.522769687814939,0.711188909417564,-6.5246966245485,ITGA7
ITGA8,-1.06065448025206,2.41334660111332,-0.786863603801821,0.454849100141421,0.65887211137607,-6.48359077576111,ITGA8
ITGA9,1.84536310667446,1.77810917490595,1.49550153685777,0.174517116245421,0.367505022166453,-5.828889822724,ITGA9
ITGAE,-1.77443848417204,6.01757689143586,-3.48360433036752,0.00875843496788982,0.0494870444229576,-2.75362504655869,ITGAE
ITGAV,-0.296714636595768,6.24477804358791,-0.393424266964045,0.704653427438504,0.842488660654822,-6.51083547622039,ITGAV
ITGB1,-0.951568032458461,8.05857718683297,-2.9381272209369,0.0195243048928297,0.0858083796244414,-3.69006735697486,ITGB1
ITGB1BP1,0.0715033197463839,5.78959121624183,0.207126805395073,0.841272437944554,0.922069365348392,-6.54794404462581,ITGB1BP1
ITGB3BP,-1.46917528277789,3.73479630286397,-1.25166033390982,0.247306510697984,0.455489838715325,-6.17800596264517,ITGB3BP
ITGB4,0.553691782273315,2.3169155274522,1.02954015742898,0.334415678136704,0.547140149846886,-6.22542247738383,ITGB4
ITGB5,0.27767893219356,5.22092161803626,0.694421739545184,0.50778391015674,0.701001602352148,-6.31675829452148,ITGB5
ITGB8,-0.252078943905844,2.11532330229535,-0.488248031950994,0.638946182025848,0.798609584669906,-6.62755410415477,ITGB8
ITIH4,0.869834706052431,1.33575393415934,4.67175736915609,0.00176143874148395,0.0164435281862859,-1.20989431935464,ITIH4
ITM2B,1.32670287047923,6.80428223065741,3.03367195943204,0.0169243628549809,0.0781228589385919,-3.51189494453824,ITM2B
ITM2C,-0.502347325937599,6.86035306943973,-0.953443963121446,0.369275627947165,0.580451229501783,-6.15087507581587,ITM2C
ITPA,0.0763398023980084,5.48908078968417,0.142922697740722,0.890012927905679,0.948597562222731,-6.56640037503696,ITPA
ITPK1,0.127219706576321,4.77803455234188,0.078369379450705,0.939528420061758,0.971614718600387,-6.59263720084676,ITPK1
ITPKA,-0.454713378311689,2.21240737131626,-0.466280746594903,0.653895197824105,0.809095747865218,-6.64502936057513,ITPKA
ITPKB,-0.74630688608811,5.12344815668871,-0.491022949071121,0.637070129642964,0.797525894098032,-6.52838313378168,ITPKB
ITPKC,0.5702841390821,5.4017557352629,0.943119761688582,0.374208764425829,0.585051302042896,-6.09263305225825,ITPKC
ITPR1,-0.957383035260745,5.69848390272432,-2.22312960824696,0.0581090064351586,0.178392092127744,-4.62314547142781,ITPR1
ITPR2,-0.350384245064318,5.63640062828774,-0.608425284150106,0.560385116544987,0.739778100682845,-6.4141444842223,ITPR2
ITPR3,-0.78438069867513,7.41792039207464,-1.56757737174566,0.157000573873077,0.343396693349667,-5.51296102477734,ITPR3
ITPRID2,-0.822801113602534,6.11688211164212,-1.2488481934875,0.248278811880119,0.456581063407791,-5.80260304032798,ITPRID2
ITPRIP,0.972668476000254,4.28621881339622,3.08129373527884,0.01576650704102,0.0745433838304535,-3.15436754133501,ITPRIP
ITPRIPL2,-0.573401102560291,5.58519030969627,-0.444510461304951,0.668877065529592,0.818853574663868,-6.47612697459159,ITPRIPL2
ITSN1,-0.525853750407885,6.39531154660914,-1.15338246706293,0.283228997784886,0.495309399762236,-5.90917181132216,ITSN1
ITSN2,-1.31199173812023,5.95577305336861,-3.27484421736487,0.011852592489989,0.0611056635697253,-2.97197532170289,ITSN2
IVD,-0.10196834357827,6.07172119927471,-0.292811675265296,0.777385857599849,0.885555634200255,-6.54948397012823,IVD
IVNS1ABP,-1.50077049683803,7.14166713681858,-3.94033853269785,0.00461365475769875,0.0317518940266243,-1.96565065096962,IVNS1ABP
IWS1,-0.499683408838149,6.40606573308255,-0.659541300148144,0.528738230639572,0.716289347950396,-6.35043721163674,IWS1
JADE1,-2.59889723520399,5.40477697799342,-9.2908587490483,1.86044540232371e-05,0.000609930112011806,3.50437462297612,JADE1
JADE2,1.37877190063724,4.15709980035703,0.866563008234002,0.412317191294785,0.620454358901238,-6.12140530224675,JADE2
JADE3,-0.757839533131564,5.35731843029253,-1.15172919422767,0.283868152657493,0.495844454024375,-5.96983782772904,JADE3
JAG1,0.272029990682793,5.67664673575819,0.463711663862718,0.655654648363213,0.810219994047752,-6.44744474149231,JAG1
JAG2,0.88643299242867,6.50171572839074,1.80591462364067,0.109943662686237,0.270453160683658,-5.18736023889891,JAG2
JAGN1,-0.29448987402277,5.49790626707865,-0.552430221500313,0.596288731403182,0.769499458802191,-6.4306859065616,JAGN1
JAK1,-0.923104209557174,6.42099115477395,-2.45952288505511,0.040409711311843,0.139352160094032,-4.13306303286713,JAK1
JAK2,1.41143742124302,2.46876244861076,5.29785495061926,0.000821924717900313,0.00967103344001182,-0.197935886683421,JAK2
JAKMIP2,0.58692077862692,4.23556728822641,1.11684224114725,0.297630716608664,0.5105646937581,-6.04129594479922,JAKMIP2
JAM2,1.15682479775264,3.21452482606907,1.02151385905362,0.337968553324212,0.550931899841988,-6.13740656723768,JAM2
JAM3,0.284399494957548,4.19942371545228,0.238826933315549,0.817460633602407,0.909796284215317,-6.60114140585391,JAM3
JARID2,-1.36648062785005,6.39743063360046,-3.07970315097037,0.0158038062624248,0.0745974821123948,-3.20408146796759,JARID2
JAZF1,0.592686870888395,4.39323509495839,1.12337377566591,0.295013907394199,0.507946480563537,-5.96712856759214,JAZF1
JCAD,-1.35874785482786,5.03224292014792,-2.20153139282771,0.0600706751248661,0.182533560668859,-4.70354065159574,JCAD
JDP2,-0.229050025255224,2.35173856560575,-0.211273930161005,0.838146727708469,0.920461861225327,-6.73256236571655,JDP2
JHY,0.2547639742119,2.30034643136528,0.277734960230805,0.788512186747468,0.892031079431592,-6.66515951480331,JHY
JKAMP,-1.17400492190043,4.10352319461085,-0.755330488044205,0.472475683439351,0.673730894979502,-6.60422370590052,JKAMP
JMJD1C,-1.16020451088639,5.74012237414312,-2.32114147212104,0.0499802164058191,0.161052248980284,-4.40123418436848,JMJD1C
JMJD4,0.839214735837157,4.53072355950034,0.45801481463406,0.659564376703413,0.812625224969827,-6.44069824136368,JMJD4
JMJD6,0.128953828024074,6.55389680869157,0.289543608928402,0.77979306752794,0.886757193463976,-6.63083956185842,JMJD6
JMJD7,0.26175730033267,1.63271151473777,1.16226346058999,0.279815661444447,0.491699538588348,-6.1097807707646,JMJD7
JMJD8,-0.0589030165275632,4.260709067052,-0.0421065195268294,0.967482949976214,0.985717773695787,-6.76855769182105,JMJD8
JMY,0.320699504592233,6.29511271631285,0.707701395259858,0.499945662895405,0.694770345594048,-6.36440682410816,JMY
JOSD1,-2.48760706145609,5.68613088227381,-1.75661912097594,0.118432867779564,0.28368504809598,-5.54556007808388,JOSD1
JOSD2,3.27186334154358,4.29154142800577,4.04712516539852,0.00398883357673646,0.0289722680485516,-1.67850511029397,JOSD2
JPH1,0.34830728645008,5.29216037071779,0.576943604470991,0.580415697236338,0.756528095476116,-6.38680213227868,JPH1
JPH3,1.81924300568324,4.02975546995621,3.48010216542427,0.00880258200750529,0.0496198692685673,-2.53409851986212,JPH3
JPT1,1.00962725664363,8.61406746463071,4.98823533353753,0.00118989827748501,0.0123817970846097,-1.08680352338853,JPT1
JPT2,-0.664675579016137,7.1856162124524,-1.56923318594944,0.156617597019989,0.342979935784627,-5.59892657333814,JPT2
JPX,0.974659916474717,4.78229173531718,2.29460823070102,0.0520612310077584,0.16588982931012,-4.37713541274222,JPX
JRK,-1.22360242780716,6.26530418598721,-3.01252460817943,0.0174668073132128,0.0799868874581254,-3.30336997893167,JRK
JRKL,-2.49692141716302,3.85268549357001,-5.25083746177699,0.000868677230597133,0.0100245352410909,-0.720361273639484,JRKL
JTB,0.287632352807293,7.01352578288526,1.1735864898699,0.275512604350088,0.487264059835907,-6.10747693566446,JTB
JUN,0.532322071835491,9.74328167918354,1.58831602885824,0.152264954273406,0.336719602237296,-6.27077597896389,JUN
JUNB,-0.702379675435686,4.56188549916121,-0.646498085248879,0.536708583956189,0.722976553588676,-6.58759500454031,JUNB
JUND,0.425761798551705,7.0390842988513,0.72415273804689,0.490343219487723,0.686815952100904,-6.5306895847742,JUND
