,logFC.RNAseq_sample-RNAseq_control,AveExpr.RNAseq_sample-RNAseq_control,t.RNAseq_sample-RNAseq_control,P.Value.RNAseq_sample-RNAseq_control,adj.P.Val.RNAseq_sample-RNAseq_control,B.RNAseq_sample-RNAseq_control,Symbol.RNAseq_sample-RNAseq_control
TIA1,0.611798387361739,4.78779309491438,1.26282961189427,0.239050957610033,0.836160591669089,-5.50894955750693,TIA1
TIAL1,0.478919066009627,6.29160226528089,2.48001425072813,0.0355261574506209,0.50861552326504,-3.94126035266808,TIAL1
TIAM1,0.149420188244698,4.82782723511804,0.829874720620478,0.42852427340338,0.949413731464362,-5.79616999342561,TIAM1
TIAM2,0.323164981298135,1.19564291842262,0.404714546561431,0.695337736107564,0.997436215010357,-5.49529532804063,TIAM2
TICAM1,-0.46332864096429,1.17101213684367,-0.523967586220014,0.613226344533905,0.996391562030057,-5.63894359595496,TICAM1
TICRR,-0.0210978281424925,5.73682352475723,-0.0892860955510026,0.930851426421513,0.999969548839946,-6.34359057021224,TICRR
TIFA,0.407288359860905,1.67431612461612,1.11970039669123,0.292439388093785,0.872837031061366,-4.97486253148582,TIFA
TIGAR,0.542086214564735,3.78803467227308,0.70922989467908,0.496521734533866,0.97404710992445,-5.77938052945092,TIGAR
TIGD1,-0.443809106375179,2.38111951017123,-0.686062024127499,0.510324773080075,0.97631634337768,-5.44041576963323,TIGD1
TIGD2,0.0220842619416716,0.77016693948621,0.0336588611562059,0.97389946006303,1,-5.78894693317566,TIGD2
TIGD3,0.367175023449209,-0.0233343045918658,1.72076148573711,0.120131228749872,0.698842255506278,-4.83907001361012,TIGD3
TIGD5,-0.153890059686908,4.66683087444246,-0.408640342856041,0.692558344662878,0.997436215010357,-5.84446144887147,TIGD5
TIGD6,0.0690551999642367,1.69559659871687,0.0931644953581738,0.927857215735334,0.999969548839946,-5.62090146438104,TIGD6
TIGD7,0.59613608326035,1.11417058414734,0.807551009516948,0.440608034074747,0.953908427297031,-5.27041121746224,TIGD7
TIMELESS,0.146181017132262,6.26148378627524,1.11943210450947,0.292547752459369,0.872837031061366,-5.89873663398505,TIMELESS
TIMM10,-0.422408669614527,4.84838304710998,-1.43401009736159,0.186095819412021,0.781469595020498,-5.13042566309254,TIMM10
TIMM10B,-0.340195912057245,3.00203803978155,-1.04045133508228,0.325842147574667,0.894354995917773,-5.18905482064596,TIMM10B
TIMM13,-0.804266703584934,6.24697137581658,-3.70208789482627,0.00509007870757244,0.288601330094409,-2.09323183575864,TIMM13
TIMM17A,0.0138728483997523,5.64489338035826,0.0838619917227393,0.935040878921384,0.999969548839946,-6.4235239929151,TIMM17A
TIMM17B,-0.56095263356282,4.75112010011737,-1.73545184972431,0.11740936833144,0.696923565537907,-4.49598927178426,TIMM17B
TIMM21,-0.376848978385068,5.06176748015021,-1.69315513137063,0.12540373662025,0.70694384491106,-4.95079617160929,TIMM21
TIMM22,-0.400047978452251,4.79908946499336,-1.62792083743371,0.13871363468279,0.725988995891448,-4.93579319573968,TIMM22
TIMM23,-0.119169979889466,6.06650283643825,-0.819841354286946,0.433927029678658,0.952651361490582,-6.05745094731,TIMM23
TIMM23B,-0.343911014043306,0.558732839096311,-1.35689533594877,0.20856021892117,0.804324325013892,-4.92072285949582,TIMM23B
TIMM29,-0.738969946969981,4.85753455176714,-2.90164722094371,0.017937902729423,0.429058399789572,-3.01921345018585,TIMM29
TIMM44,-0.776559855871485,4.92996726506076,-2.57345514191267,0.0305195531803917,0.49525868023077,-3.51439357234808,TIMM44
TIMM50,-0.307850000455962,7.34534165394499,-2.51074073286459,0.033794940938637,0.505405796736422,-4.11391347005213,TIMM50
TIMM8A,-0.382329501508262,4.19258709245737,-0.799264253799255,0.445151711293362,0.956735526081206,-5.84779706167246,TIMM8A
TIMM8B,-0.349285518298563,5.08687562516798,-1.53421864118494,0.160069999396664,0.753791945124117,-4.99951388449794,TIMM8B
TIMM9,-0.213837076955687,4.56795500216042,-0.399350254273196,0.699143360619293,0.997576220298529,-5.7278524792144,TIMM9
TIMMDC1,-0.226086055551201,4.45892376300976,-0.908310738521,0.387887078611387,0.932875296072082,-5.68360504378768,TIMMDC1
TIMP1,-0.296726190988167,4.29464814552482,-0.962003860066773,0.361707859956668,0.918369464778619,-5.3121017548173,TIMP1
TIMP2,0.726490679093705,4.53814993513867,2.63243060671741,0.0277313443230517,0.480381741291833,-3.40903056514336,TIMP2
TIMP3,0.780252295923736,4.2619364907879,2.68908535847069,0.025295294022772,0.475431211027875,-3.23574701274076,TIMP3
TINCR,0.257273395163419,0.674262373032616,0.489775652371609,0.636257530490274,0.996391562030057,-5.6524991198211,TINCR
